ticker,side,qty,limit_price,time_placed_et,minutes_resting,tied_to_position,orphan,notes
KXATPCHALLENGERMATCH-26APR22BICPOU-BIC,buy,10,69,04/22 01:31 PM ET,33,False,True,ORPHAN
KXATPCHALLENGERMATCH-26APR22MUKERE-ERE,buy,19,54,04/22 01:31 PM ET,33,False,True,ORPHAN
KXATPMATCH-26APR22LANWAL-WAL,sell,10,48,04/21 10:50 AM ET,1634,True,False,
KXATPCHALLENGERMATCH-26APR21CHUCHI-CHI,sell,10,85,04/21 11:16 PM ET,889,True,False,
KXATPCHALLENGERMATCH-26APR22MUKERE-MUK,sell,10,50,04/22 01:52 PM ET,12,True,False,
KXATPMATCH-26APR22POPDAM-POP,sell,10,74,04/22 05:45 AM ET,499,True,False,
KXATPCHALLENGERMATCH-26APR22BITCHA-CHA,sell,10,83,04/22 07:41 AM ET,383,True,False,
KXWTAMATCH-26APR22MCCVOL-VOL,sell,10,49,04/22 10:33 AM ET,212,True,False,
KXATPCHALLENGERMATCH-26APR22SVRBER-SVR,sell,10,85,04/22 11:19 AM ET,165,True,False,
KXATPCHALLENGERMATCH-26APR22SVRBER-BER,sell,10,46,04/22 11:52 AM ET,132,True,False,
KXATPCHALLENGERMATCH-26APR22BROSCH-SCH,sell,10,55,04/22 12:49 AM ET,795,True,False,
