cell,entry_lo,entry_hi,deployed_offset,n_trajs,peak_p25,peak_p50,peak_p75,peak_p90,reaches_95_pct,reaches_99_pct,fill_rate_off+1,fill_rate_off+0,fill_rate_off-1,fill_rate_off-2,fill_rate_off-3,fill_rate_off-4,fill_rate_off-5
ATP_CHALL_leader_55-59,57,59,0,88,85,99,99,99,65.2,63.6,76.1,75.0,64.8,3.4,1.1,1.1,1.1
ATP_CHALL_leader_60-64,60,62,0,72,73,99,99,99,61.4,59.6,77.8,79.2,65.3,0,0,0,0
ATP_CHALL_leader_65-69,67,69,0,71,99,99,99,99,84.8,84.8,70.4,64.8,60.6,1.4,0,0,0
ATP_CHALL_leader_70-74,71,73,0,60,99,99,99,99,77.8,77.8,63.3,60.0,51.7,1.7,1.7,0,0
ATP_CHALL_leader_75-79,77,79,0,51,99,99,99,99,82.4,82.4,66.7,66.7,58.8,0,0,0,0
ATP_CHALL_leader_80-84,80,82,0,35,99,99,99,99,96.2,92.3,74.3,74.3,60.0,0,0,0,0
ATP_CHALL_underdog_10-14,11,13,-5,31,15,28,47,89,9.5,9.5,71.0,67.7,61.3,0,0,0,0
ATP_CHALL_underdog_15-19,17,19,0,50,20,33,63,99,11.4,11.4,70.0,70.0,60.0,0,0,0,0
ATP_CHALL_underdog_20-24,22,24,-4,57,35,54,99,99,28.9,28.9,82.5,78.9,77.2,0,0,1.8,0
ATP_CHALL_underdog_25-29,26,28,0,50,34,46,75,99,13.6,11.4,90.0,88.0,78.0,4.0,0,0,0
ATP_CHALL_underdog_30-34,31,33,0,74,37,51,99,99,25.4,25.4,91.9,90.5,83.8,0,0,0,0
ATP_CHALL_underdog_35-39,37,39,-2,83,50,71,99,99,35.8,34.3,84.3,80.7,75.9,1.2,0,0,0
ATP_CHALL_underdog_40-44,42,44,-1,83,61,99,99,99,53.2,51.6,77.1,74.7,67.5,1.2,0,0,0
ATP_MAIN_leader_55-59,55,57,0,36,74,99,99,99,52.0,52.0,72.2,69.4,63.9,0,0,0,0
ATP_MAIN_leader_60-64,60,64,0,45,72,99,99,99,56.8,54.1,82.2,82.2,75.6,0,0,0,0
ATP_MAIN_leader_65-69,66,68,0,34,75,99,99,99,50.0,50.0,79.4,76.5,73.5,0,0,0,0
ATP_MAIN_leader_70-74,70,72,0,28,99,99,99,99,77.8,77.8,64.3,64.3,60.7,0,0,0,0
ATP_MAIN_leader_75-79,75,77,0,14,94,99,99,99,70.0,60.0,78.6,71.4,71.4,0,0,0,0
ATP_MAIN_underdog_15-19,15,19,0,19,18,20,44,46,0.0,0.0,57.9,57.9,52.6,0,0,0,0
ATP_MAIN_underdog_20-24,22,24,-4,16,27,44,87,99,16.7,16.7,75.0,75.0,68.8,0,0,0,0
ATP_MAIN_underdog_25-29,26,28,0,19,33,42,51,63,0.0,0.0,73.7,68.4,63.2,0,0,0,0
ATP_MAIN_underdog_30-34,31,33,-3,26,39,95,99,99,50.0,45.5,84.6,84.6,84.6,0,0,0,0
ATP_MAIN_underdog_35-39,37,39,0,38,47,70,99,99,33.3,27.3,89.5,86.8,81.6,0,0,0,0
ATP_MAIN_underdog_40-44,40,42,0,34,47,67,99,99,32.1,28.6,82.4,82.4,82.4,0,0,0,0
WTA_CHALL_leader_60-64,60,62,0,7,72,79,99,99,40.0,40.0,71.4,71.4,57.1,0,0,0,0
WTA_CHALL_leader_85-89,85,89,0,4,99,99,99,99,100.0,100.0,50.0,50.0,50.0,0,0,0,0
WTA_CHALL_underdog_35-39,35,39,-2,10,62,99,99,99,50.0,50.0,80.0,80.0,60.0,0,0,0,0
WTA_CHALL_underdog_40-44,40,44,-1,20,55,99,99,99,58.8,58.8,85.0,85.0,80.0,0,0,0,0
WTA_MAIN_leader_55-59,55,57,0,29,64,93,99,99,45.8,37.5,82.8,82.8,82.8,3.4,0,0,0
WTA_MAIN_leader_60-64,62,64,0,22,67,99,99,99,50.0,50.0,59.1,54.5,50.0,0,0,0,0
WTA_MAIN_leader_65-69,66,68,0,19,99,99,99,99,76.5,76.5,89.5,89.5,78.9,0,0,0,0
WTA_MAIN_leader_70-74,70,72,0,24,99,99,99,99,76.9,76.9,50.0,54.2,50.0,0,0,0,0
WTA_MAIN_leader_75-79,76,78,0,17,99,99,99,99,76.9,76.9,76.5,76.5,70.6,0,0,0,0
WTA_MAIN_leader_80-84,81,83,0,13,99,99,99,99,85.7,85.7,53.8,53.8,46.2,0,0,0,0
WTA_MAIN_leader_85-89,85,87,0,11,99,99,99,99,100.0,100.0,72.7,72.7,54.5,0,0,0,0
WTA_MAIN_underdog_15-19,15,19,0,26,25,39,79,99,21.1,10.5,76.9,73.1,73.1,3.8,3.8,0,0
WTA_MAIN_underdog_20-24,22,24,-4,13,31,33,99,99,25.0,25.0,69.2,61.5,61.5,0,0,0,0
WTA_MAIN_underdog_25-29,25,27,0,22,38,51,67,99,11.8,11.8,77.3,77.3,77.3,0,0,0,0
WTA_MAIN_underdog_30-34,31,33,0,21,41,55,99,99,25.0,25.0,76.2,76.2,71.4,0,0,0,0
WTA_MAIN_underdog_35-39,35,37,-2,18,44,64,78,99,23.1,23.1,77.8,72.2,66.7,0,0,0,0
WTA_MAIN_underdog_40-44,40,44,0,41,44,88,99,99,44.1,41.2,82.9,82.9,78.0,4.9,2.4,0,0
