cell,old_blended_scalp,old_ROI,Sw,Sl,corrected_EV,corrected_ROI,ROI_delta,status_flip
ATP_CHALL_leader_50-54,74.8,18.5,100.0,53.8,-0.1609,-3.1,-21.6,POS->NEG
ATP_CHALL_leader_55-59,75.2,23.8,100.0,49.3,0.1146,2.0,-21.8,-
ATP_CHALL_leader_60-64,96.1,9.7,100.0,90.0,0.4204,6.8,-2.9,-
ATP_CHALL_leader_65-69,69.5,30.8,100.0,9.1,0.0722,1.1,-29.7,-
ATP_CHALL_leader_70-74,80.8,30.5,100.0,0.0,0.8342,11.6,-18.9,-
ATP_CHALL_leader_75-79,88.8,10.9,100.0,58.3,0.0364,0.5,-10.4,-
ATP_CHALL_leader_80-84,84.8,15.2,100.0,21.4,0.1171,1.4,-13.8,-
ATP_CHALL_leader_85-89,91.9,6.9,100.0,58.3,-0.0415,-0.5,-7.4,POS->NEG
ATP_CHALL_underdog_10-14,36.8,62.5,100.0,33.3,0.4172,35.1,-27.4,-
ATP_CHALL_underdog_15-19,43.1,79.0,100.0,31.5,0.4141,24.1,-54.9,-
ATP_CHALL_underdog_20-24,60.0,50.2,100.0,45.1,0.0514,2.3,-47.9,-
ATP_CHALL_underdog_25-29,53.8,29.6,100.0,43.8,0.0115,0.4,-29.2,-
ATP_CHALL_underdog_30-34,62.4,15.2,100.0,53.1,-0.2389,-7.4,-22.6,POS->NEG
ATP_CHALL_underdog_35-39,75.0,18.1,100.0,64.1,-0.0735,-2.0,-20.1,POS->NEG
ATP_CHALL_underdog_40-44,62.6,45.1,100.0,36.2,0.3675,8.8,-36.3,-
ATP_CHALL_underdog_45-49,73.9,24.3,100.0,43.5,-0.2370,-5.1,-29.4,POS->NEG
ATP_MAIN_leader_50-54,74.4,13.6,100.0,54.2,-0.4033,-7.8,-21.4,POS->NEG
ATP_MAIN_leader_55-59,66.7,14.2,100.0,33.3,-0.5484,-9.6,-23.8,POS->NEG
ATP_MAIN_leader_60-64,80.6,21.4,100.0,40.0,0.0340,0.6,-20.8,-
ATP_MAIN_leader_70-74,81.7,19.4,100.0,31.2,0.0815,1.1,-18.3,-
ATP_MAIN_leader_75-79,83.3,16.3,100.0,0.0,-0.1042,-1.3,-17.6,POS->NEG
ATP_MAIN_underdog_20-24,36.4,30.2,100.0,22.2,-0.4562,-20.3,-50.5,POS->NEG
ATP_MAIN_underdog_25-29,65.0,43.4,100.0,56.2,0.5043,18.4,-25.0,-
ATP_MAIN_underdog_30-34,66.7,31.1,100.0,52.0,-0.0176,-0.6,-31.7,POS->NEG
ATP_MAIN_underdog_35-39,91.3,32.8,100.0,81.8,0.7796,20.9,-11.9,-
ATP_MAIN_underdog_40-44,78.4,10.7,100.0,69.2,-0.1805,-4.3,-15.0,POS->NEG
ATP_MAIN_underdog_45-49,90.0,6.2,100.0,82.6,-0.2178,-4.6,-10.8,POS->NEG
WTA_CHALL_leader_55-59,50.0,11.2,100.0,0.0,-1.8071,-31.6,-42.8,POS->NEG
WTA_CHALL_underdog_40-44,56.2,55.2,100.0,0.0,-0.1008,-2.4,-57.6,POS->NEG
WTA_MAIN_leader_50-54,88.4,17.6,100.0,75.0,0.2966,5.8,-11.8,-
WTA_MAIN_leader_55-59,67.7,1.8,100.0,57.9,-0.4342,-7.6,-9.4,POS->NEG
WTA_MAIN_leader_60-64,95.0,12.4,100.0,85.7,0.4542,7.3,-5.1,-
WTA_MAIN_leader_65-69,88.5,33.5,100.0,25.0,1.2775,19.2,-14.3,-
WTA_MAIN_leader_70-74,76.5,28.2,100.0,0.0,0.2536,3.5,-24.7,-
WTA_MAIN_underdog_25-29,57.9,28.1,100.0,50.0,0.1122,4.1,-24.0,-
WTA_MAIN_underdog_30-34,50.0,2.6,100.0,46.7,-0.1634,-5.2,-7.8,POS->NEG
WTA_MAIN_underdog_35-39,75.9,16.9,100.0,66.7,-0.0312,-0.8,-17.7,POS->NEG
WTA_MAIN_underdog_40-44,76.2,-1.1,100.0,71.4,-0.7866,-18.6,-17.5,-
WTA_MAIN_underdog_45-49,82.8,19.9,100.0,66.7,0.1178,2.5,-17.4,-
