cell,cell_matches,fills,fill_rate_pct
ATP_CHALL_leader_50-54,23,4,17.4
ATP_CHALL_leader_55-59,64,9,14.1
ATP_CHALL_leader_60-64,44,0,0.0
ATP_CHALL_leader_65-69,67,5,7.5
ATP_CHALL_leader_70-74,55,7,12.7
ATP_CHALL_leader_75-79,55,3,5.5
ATP_CHALL_leader_80-84,63,5,7.9
ATP_CHALL_leader_85-89,43,2,4.7
ATP_CHALL_underdog_10-14,26,5,19.2
ATP_CHALL_underdog_15-19,28,0,0.0
ATP_CHALL_underdog_20-24,45,10,22.2
ATP_CHALL_underdog_25-29,34,5,14.7
ATP_CHALL_underdog_30-34,20,3,15.0
ATP_CHALL_underdog_35-39,54,7,13.0
ATP_CHALL_underdog_40-44,69,3,4.3
ATP_CHALL_underdog_45-49,65,5,7.7
ATP_MAIN_leader_50-54,8,2,25.0
ATP_MAIN_leader_55-59,4,1,25.0
ATP_MAIN_leader_60-64,17,0,0.0
ATP_MAIN_leader_65-69,10,0,0.0
ATP_MAIN_leader_70-74,15,2,13.3
ATP_MAIN_leader_75-79,17,0,0.0
ATP_MAIN_underdog_20-24,13,2,15.4
ATP_MAIN_underdog_25-29,10,0,0.0
ATP_MAIN_underdog_30-34,26,4,15.4
ATP_MAIN_underdog_35-39,34,3,8.8
ATP_MAIN_underdog_40-44,68,4,5.9
ATP_MAIN_underdog_45-49,9,3,33.3
WTA_CHALL_leader_50-54,1,1,100.0
WTA_CHALL_leader_55-59,13,3,23.1
WTA_CHALL_leader_60-64,13,3,23.1
WTA_CHALL_leader_75-79,1,0,0.0
WTA_CHALL_leader_80-84,2,0,0.0
WTA_CHALL_leader_85-89,2,0,0.0
WTA_CHALL_leader_90-94,1,0,0.0
WTA_CHALL_underdog_40-44,17,2,11.8
WTA_CHALL_underdog_50-54,2,0,0.0
WTA_MAIN_leader_50-54,31,0,0.0
WTA_MAIN_leader_55-59,6,3,50.0
WTA_MAIN_leader_60-64,24,4,16.7
WTA_MAIN_leader_65-69,3,1,33.3
WTA_MAIN_leader_70-74,21,2,9.5
WTA_MAIN_leader_80-84,11,2,18.2
WTA_MAIN_leader_85-89,5,1,20.0
WTA_MAIN_underdog_15-19,5,0,0.0
WTA_MAIN_underdog_20-24,17,2,11.8
WTA_MAIN_underdog_25-29,16,1,6.2
WTA_MAIN_underdog_30-34,13,0,0.0
WTA_MAIN_underdog_35-39,30,3,10.0
WTA_MAIN_underdog_40-44,18,3,16.7
WTA_MAIN_underdog_45-49,22,1,4.5
