exit_cents,scalp_rate_pct,mean_roi_pct,ci_lower,ci_upper,N
3,93.9,-0.7,-5.2,3.8,99
4,93.9,0.6,-3.9,5.1,99
5,92.9,0.8,-4.2,5.8,99
6,91.9,1.0,-4.4,6.5,99
7,91.9,2.3,-3.2,7.8,99
8,91.9,3.6,-2.0,9.2,99
9,91.9,4.9,-0.8,10.5,99
10,91.9,6.2,0.4,11.9,99
11,91.9,7.4,1.7,13.2,99
12,89.9,6.4,-0.2,12.9,99
13,88.9,6.5,-0.5,13.4,99
14,88.9,7.7,0.7,14.7,99
15,88.9,8.9,1.8,16.0,99
16,87.9,8.9,1.4,16.4,99
17,86.9,8.9,1.1,16.8,99
18,86.9,10.1,2.2,18.1,99
19,86.9,11.3,3.3,19.4,99
20,84.8,10.0,1.3,18.7,99
21,82.8,8.6,-0.7,17.9,99
22,82.8,9.7,0.4,19.1,99
23,82.8,10.9,1.4,20.4,99
