cell,avg_entry_price,cost_basis_per_fill,N,mean_return_pct,stddev_return_pct,SE_return_pct,ci_lower_pct,ci_upper_pct,daily_entries,daily_pct_return
ATP_CHALL_leader_50-54,51.9,5.19,119,-1.51,38.07,3.49,-8.35,5.33,2.12,-0.0320
ATP_CHALL_leader_55-59,56.9,5.69,145,4.30,51.12,4.25,-4.02,12.62,2.59,0.1113
ATP_CHALL_leader_60-64,62.1,6.21,129,12.68,57.18,5.03,2.81,22.54,2.30,0.2920
ATP_CHALL_leader_65-69,66.9,6.69,131,1.89,48.45,4.23,-6.40,10.19,2.34,0.0443
ATP_CHALL_leader_70-74,72.0,7.20,99,11.32,40.87,4.11,3.27,19.37,1.77,0.2001
ATP_CHALL_leader_75-79,76.8,7.68,89,1.90,26.84,2.85,-3.67,7.48,1.59,0.0302
ATP_CHALL_leader_80-84,82.0,8.20,79,1.67,36.15,4.07,-6.31,9.64,1.41,0.0235
ATP_CHALL_leader_85-89,86.0,8.60,62,0.11,26.15,3.32,-6.40,6.62,1.11,0.0012
ATP_CHALL_underdog_10-14,11.9,1.19,38,39.16,184.20,29.88,-19.41,97.73,0.68,0.2657
ATP_CHALL_underdog_15-19,17.2,1.72,65,36.53,164.45,20.40,-3.45,76.50,1.16,0.4240
ATP_CHALL_underdog_20-24,22.2,2.22,70,27.27,179.72,21.48,-14.83,69.37,1.25,0.3408
ATP_CHALL_underdog_25-29,26.7,2.67,91,5.02,84.62,8.87,-12.36,22.41,1.62,0.0817
ATP_CHALL_underdog_30-34,32.2,3.22,101,-5.29,49.78,4.95,-14.99,4.42,1.80,-0.0953
ATP_CHALL_underdog_35-39,36.9,3.69,132,4.49,92.97,8.09,-11.37,20.35,2.36,0.1059
ATP_CHALL_underdog_40-44,41.7,4.17,139,11.22,76.03,6.45,-1.42,23.86,2.48,0.2785
ATP_CHALL_underdog_45-49,46.8,4.68,134,11.23,99.83,8.62,-5.67,28.13,2.39,0.2688
ATP_MAIN_leader_50-54,51.7,5.17,43,4.37,86.10,13.13,-21.37,30.10,0.77,0.0335
ATP_MAIN_leader_60-64,61.7,6.17,31,10.40,58.74,10.55,-10.28,31.07,0.55,0.0576
ATP_MAIN_leader_70-74,72.3,7.23,60,2.28,44.40,5.73,-8.95,13.52,1.07,0.0245
ATP_MAIN_underdog_30-34,31.5,3.15,36,8.37,42.38,7.06,-5.48,22.22,0.64,0.0538
ATP_MAIN_underdog_40-44,42.0,4.20,37,0.84,29.29,4.81,-8.60,10.27,0.66,0.0055
ATP_MAIN_underdog_45-49,47.2,4.72,40,0.58,44.77,7.08,-13.29,14.46,0.71,0.0042
WTA_MAIN_leader_50-54,51.5,5.15,43,13.19,44.42,6.77,-0.09,26.47,0.77,0.1013
WTA_MAIN_leader_55-59,56.8,5.68,31,-2.84,44.22,7.94,-18.41,12.73,0.55,-0.0157
