cell,confidence,N,optimal_exit,optimal_roi_pct,optimal_ev_per_fill,optimal_daily_dollar,ci_lower,ci_upper,current_exit,current_roi_also_positive
ATP_CHALL_leader_50-54,LOW,119,7,-1.5,-0.0782,-0.1661,-0.4330,0.2767,15,no
ATP_CHALL_leader_55-59,LOW,145,17,4.3,0.2448,0.6339,-0.2290,0.7186,20,YES
ATP_CHALL_leader_60-64,HIGH,129,26,12.7,0.7868,1.8125,0.1743,1.3993,6,YES
ATP_CHALL_leader_65-69,LOW,131,17,1.9,0.1267,0.2964,-0.4282,0.6816,30,YES
ATP_CHALL_leader_70-74,HIGH,99,19,11.3,0.8152,1.4411,0.2352,1.3951,25,YES
ATP_CHALL_leader_75-79,LOW,89,7,1.9,0.1461,0.2321,-0.2820,0.5741,10,YES
ATP_CHALL_leader_80-84,LOW,79,12,1.7,0.1367,0.1929,-0.5173,0.7907,15,YES
ATP_CHALL_leader_85-89,LOW,62,6,0.1,0.0097,0.0107,-0.5499,0.5693,7,no
ATP_CHALL_underdog_10-14,LOW,38,35,39.2,0.4658,0.3161,-0.2309,1.1624,30,YES
ATP_CHALL_underdog_15-19,MED,65,42,36.5,0.6277,0.7286,-0.0593,1.3147,31,YES
ATP_CHALL_underdog_20-24,LOW,70,65,27.3,0.6057,0.7571,-0.3295,1.5410,15,YES
ATP_CHALL_underdog_25-29,LOW,91,18,5.0,0.1341,0.2179,-0.3298,0.5980,21,YES
ATP_CHALL_underdog_35-39,LOW,132,33,4.5,0.1659,0.3911,-0.4200,0.7518,11,no
ATP_CHALL_underdog_40-44,MED,139,27,11.2,0.4683,1.1625,-0.0593,0.9960,30,YES
ATP_CHALL_underdog_45-49,LOW,134,48,11.2,0.5261,1.2589,-0.2657,1.3179,13,no
ATP_MAIN_leader_50-54,LOW,43,40,4.4,0.2256,0.1732,-1.1042,1.5554,12,no
ATP_MAIN_leader_60-64,LOW,31,26,10.4,0.6419,0.3554,-0.6347,1.9186,15,YES
ATP_MAIN_leader_70-74,LOW,60,16,2.3,0.1650,0.1768,-0.6470,0.9770,17,YES
ATP_MAIN_underdog_25-29,LOW,20,20,22.4,0.6150,0.2196,-0.3129,1.5429,22,YES
ATP_MAIN_underdog_30-34,MED,36,8,8.4,0.2639,0.1696,-0.1726,0.7004,15,no
ATP_MAIN_underdog_35-39,MED,23,46,56.2,2.1000,0.8625,0.5550,3.6450,12,YES
ATP_MAIN_underdog_40-44,LOW,37,4,0.8,0.0351,0.0232,-0.3609,0.4312,9,no
ATP_MAIN_underdog_45-49,LOW,40,10,0.6,0.0275,0.0196,-0.6270,0.6820,4,no
WTA_CHALL_leader_55-59,LOW,14,20,-32.1,-1.8357,-0.4589,-3.8454,0.1740,20,no
WTA_CHALL_underdog_40-44,LOW,16,53,28.2,1.1812,0.3375,-1.1078,3.4703,30,no
WTA_MAIN_leader_50-54,MED,43,16,13.2,0.6791,0.5214,-0.0046,1.3627,10,YES
WTA_MAIN_leader_60-64,LOW,20,18,10.1,0.6250,0.2232,-0.6010,1.8510,8,YES
WTA_MAIN_leader_65-69,MED,26,27,24.5,1.6308,0.7571,0.4926,2.7689,23,YES
WTA_MAIN_leader_70-74,LOW,17,23,1.7,0.1235,0.0375,-1.7418,1.9888,25,YES
WTA_MAIN_leader_80-84,LOW,9,13,3.4,0.2778,0.0446,-1.6112,2.1667,17,no
WTA_MAIN_leader_85-89,LOW,8,9,-31.1,-2.6750,-0.3821,-5.8733,0.5233,14,no
WTA_MAIN_underdog_25-29,LOW,19,17,12.0,0.3263,0.1107,-0.5831,1.2357,21,YES
WTA_MAIN_underdog_30-34,LOW,18,8,8.6,0.2722,0.0875,-0.7784,1.3229,16,no
WTA_MAIN_underdog_35-39,LOW,29,19,5.4,0.2000,0.1036,-0.7226,1.1226,11,no
WTA_MAIN_underdog_45-49,LOW,29,15,9.6,0.4517,0.2339,-0.3845,1.2880,11,YES

SUMMARY,,,,,,,,,,
TIER_HIGH,,2,,,,3.254,,,,23% of total
TIER_MED,,6,,,,4.202,,,,30% of total
TIER_LOW,,27,,,,6.454,,,,46% of total
